
Host: node2610.swalot.os

Timers On : Wed Mar 10 12:56:50 2021
Timers Off: Wed Mar 10 16:33:44 2021

Wall Time:    13013.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.000w     20 calls
HF: Form D                          :      0.000u      0.000s      0.000w     20 calls
HF: DIIS                            :      0.017u      0.000s      0.011w     18 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     18 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w     18 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     18 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     18 calls
New vector                          :      0.000u      0.000s      0.000w     18 calls
HF: Form C                          :      0.000u      0.000s      0.001w     18 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.217u      0.000s      0.116w      7 calls
DFH: initialize()                   :      0.150u      0.000s      0.088w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.002w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.383u      0.033s      0.250w      2 calls
| SAD Guess                         :      0.350u      0.017s      0.228w      2 calls
HF: Form G                          :      0.033u      0.000s      0.003w     20 calls
| JK: D                             :      0.000u      0.000s      0.000w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      0.033u      0.000s      0.002w     20 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.002w     20 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     20 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.001w     20 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.000w     20 calls
HF: Form D                          :      0.000u      0.000s      0.000w     20 calls
HF: DIIS                            :      0.017u      0.000s      0.011w     18 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w     18 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w     18 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     18 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     18 calls
| | New vector                      :      0.000u      0.000s      0.000w     18 calls
HF: Form C                          :      0.000u      0.000s      0.001w     18 calls

**************************************************************************************

Host: node3415.kirlia.os

Timers On : Wed Mar 31 13:38:13 2021
Timers Off: Wed Mar 31 13:39:03 2021

Wall Time:       50.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.083u      0.000s      0.049w      3 calls
DFH: initialize()                   :      0.050u      0.017s      0.043w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.150u      0.000s      0.087w      1 calls
SAD Guess                           :      0.133u      0.000s      0.076w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w     11 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.000u      0.000s      0.001w     11 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w     11 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.017u      0.000s      0.006w     10 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     10 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w     10 calls
bMatrix setup                       :      0.000u      0.000s      0.000w     10 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     10 calls
New vector                          :      0.000u      0.000s      0.000w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.083u      0.000s      0.049w      3 calls
